t,vx,vy,vz,wx,wy,wz
1771883270.936875,0.19999999933440737,0.0,0.0,0.0,0.0,0.0
1771883270.9467278,0.19999999933440737,0.0,0.0,0.0,0.0,0.0
1771883270.956705,0.19999999933440737,0.0,0.0,0.0,0.0,0.0
1771883270.9673648,0.19999999929239132,0.0,0.0,0.0,0.0,0.0
1771883270.9767258,0.19999999929239132,0.0,0.0,0.0,0.0,0.0
1771883270.9867263,0.19999999927300643,0.0,0.0,0.0,0.0,0.0
1771883270.9971523,0.19999999927300643,0.0,0.0,0.0,0.0,0.0
1771883271.006715,0.19999999925765616,0.0,0.0,0.0,0.0,0.0
1771883271.0168018,0.19999999925765616,0.0,0.0,0.0,0.0,0.0
1771883271.0267763,0.19999999925765616,0.0,0.0,0.0,0.0,0.0
1771883271.0367286,0.1999999992385135,0.0,0.0,0.0,0.0,0.0
1771883271.0470438,0.19999999949788266,0.0,0.0,0.0,0.0,0.0
1771883271.0576043,0.19999999949788266,0.0,0.0,0.0,0.0,0.0
1771883271.066723,0.19999999949788266,0.0,0.0,0.0,0.0,0.0
1771883271.0768282,0.19999999949788266,0.0,0.0,0.0,0.0,0.0
1771883271.086721,0.19999999939548965,0.0,0.0,0.0,0.0,0.0
1771883271.0967355,0.1999999992493062,0.0,0.0,0.0,0.0,0.0
1771883271.106718,0.1999999992493062,0.0,0.0,0.0,0.0,0.0
1771883271.1167421,0.1999999992493062,0.0,0.0,0.0,0.0,0.0
1771883271.1267338,0.19999999909317617,0.0,0.0,0.0,0.0,0.0
1771883271.136727,0.19999999909317617,0.0,0.0,0.0,0.0,0.0
1771883271.1467154,0.19999999909317617,0.0,0.0,0.0,0.0,0.0
1771883271.157508,0.19999999890690395,0.0,0.0,0.0,0.0,0.0
1771883271.166716,0.19999999890690395,0.0,0.0,0.0,0.0,0.0
1771883271.176737,0.19999999890690395,0.0,0.0,0.0,0.0,0.0
1771883271.1868458,0.19999999890690395,0.0,0.0,0.0,0.0,0.0
1771883271.1967282,0.19999999882543606,0.0,0.0,0.0,0.0,0.0
1771883271.2067206,0.19999999882543606,0.0,0.0,0.0,0.0,0.0
1771883271.2167115,0.19999999882543606,0.0,0.0,0.0,0.0,0.0
1771883271.2269738,0.1999999988246552,0.0,0.0,0.0,0.0,0.0
1771883271.2372317,0.1999999988246552,0.0,0.0,0.0,0.0,0.0
1771883271.246718,0.19999999880936659,0.0,0.0,0.0,0.0,0.0
1771883271.2567344,0.19999999880936659,0.0,0.0,0.0,0.0,0.0
1771883271.2668164,0.19999999880936659,0.0,0.0,0.0,0.0,0.0
