t,x,y,z,qx,qy,qz,qw
1773116700.3542295,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.404233,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.4542234,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.5043175,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.5542474,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.6042664,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.6546223,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.704275,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.7542534,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.8042748,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.8547282,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.9046948,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116700.9554179,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.0044153,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.0545316,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.1041713,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.1541197,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.2040856,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.2540948,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.304088,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.3546906,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.4042108,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.4540873,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.504206,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.554201,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.604184,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.654271,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.7042036,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.7542107,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.8045232,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.854117,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.904225,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116701.9542341,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.0041826,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.0542035,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.104619,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
1773116702.1545727,1.7318480039983988,-0.8359107375144958,0.8396229004859924,0.0,0.0,0.0,1.0
